dataset,method,seed,task,elapsed_sec,metric_accuracy,metric_f1,metric_precision,metric_recall,metric_roc_auc,metric_mae,metric_rmse,metric_r2
ClinTox,GINE,42,classification,12.65,0.7643097643097643,0.3269230769230769,0.20481927710843373,0.8095238095238095,0.8364389233954451,,,
ClinTox,GINE,123,classification,10.5,0.7643097643097643,0.3269230769230769,0.22666666666666666,0.5862068965517241,0.7803654143077715,,,
ClinTox,GINE,7,classification,10.34,0.7744107744107744,0.30927835051546393,0.19230769230769232,0.7894736842105263,0.814085573646346,,,
ClinTox,ChemBERTa,42,classification,132.05,0.5925925925925926,0.16551724137931034,0.0967741935483871,0.5714285714285714,0.669168391994479,,,
ClinTox,ChemBERTa,123,classification,131.71,0.531986531986532,0.2057142857142857,0.1232876712328767,0.6206896551724138,0.5930905815748841,,,
ClinTox,ChemBERTa,7,classification,132.03,0.48484848484848486,0.13559322033898305,0.0759493670886076,0.631578947368421,0.6121734191594093,,,
LD50_Zhu,RF,42,regression,73.33,,,,,,0.591956091040721,0.8326054335888321,0.029251393468231246
LD50_Zhu,RF,123,regression,73.19,,,,,,0.597297087927645,0.8333760998746993,0.032351741764329534
LD50_Zhu,RF,7,regression,72.95,,,,,,0.5815640815669699,0.8150298971806074,0.028725404999325632
LD50_Zhu,XGB,42,regression,3.62,,,,,,0.622226357460022,0.8562092820113293,-0.026568889617919922
LD50_Zhu,XGB,123,regression,3.62,,,,,,0.6370562314987183,0.8752527553075871,-0.06733894348144531
LD50_Zhu,XGB,7,regression,3.63,,,,,,0.6155393123626709,0.8484659854048229,-0.05260121822357178
LD50_Zhu,GCN,42,regression,15.98,,,,,,0.6778532862663269,0.866459515157965,-0.05129551887512207
LD50_Zhu,GCN,123,regression,42.38,,,,,,0.6753270030021667,0.8754076689218864,-0.06771683692932129
LD50_Zhu,GCN,7,regression,69.51,,,,,,0.6728838682174683,0.8677659382346908,-0.10103261470794678
LD50_Zhu,GIN,42,regression,37.91,,,,,,0.7531471252441406,1.0160096833826413,-0.44551944732666016
LD50_Zhu,GIN,123,regression,26.6,,,,,,0.7407907247543335,1.0323702189829813,-0.48493123054504395
LD50_Zhu,GIN,7,regression,34.82,,,,,,0.787114679813385,1.0587906320064517,-0.639136552810669
LD50_Zhu,GAT,42,regression,37.2,,,,,,0.6407486796379089,0.8354541415008752,0.022597432136535645
LD50_Zhu,GAT,123,regression,35.78,,,,,,0.6594863533973694,0.8614068027814935,-0.03383684158325195
LD50_Zhu,GAT,7,regression,35.93,,,,,,0.6593124270439148,0.8465285292773257,-0.04779946804046631
LD50_Zhu,SAGE,42,regression,63.18,,,,,,0.6269056797027588,0.8308144209752093,0.03342330455780029
LD50_Zhu,SAGE,123,regression,47.73,,,,,,0.6649959087371826,0.8645975770504719,-0.04150998592376709
LD50_Zhu,SAGE,7,regression,49.63,,,,,,0.6392650604248047,0.8349929535734074,-0.019437551498413086
LD50_Zhu,GINE,42,regression,24.17,,,,,,0.7671735882759094,1.1234860299654768,-0.76751708984375
LD50_Zhu,GINE,123,regression,30.17,,,,,,0.8251863718032837,1.2267144467457272,-1.096632719039917
LD50_Zhu,GINE,7,regression,51.05,,,,,,0.7044010162353516,0.9786919836531996,-0.40051257610321045
Tox21_NR-AR,RF,42,classification,5.5,0.969050894085282,0.47058823529411764,0.9523809523809523,0.3125,0.7371178057553958,,,
Tox21_NR-AR,XGB,42,classification,3.94,0.9573590096286108,0.42592592592592593,0.5227272727272727,0.359375,0.6878035071942445,,,
Tox21_NR-AR,GCN,42,classification,27.24,0.5839064649243466,0.12698412698412698,0.06995230524642289,0.6875,0.6973021582733813,,,
Tox21_NR-AR,GIN,42,classification,20.89,0.5261348005502063,0.117797695262484,0.06415620641562064,0.71875,0.7455260791366907,,,
Tox21_NR-AR,GAT,42,classification,50.56,0.6733149931224209,0.14414414414414414,0.0814663951120163,0.625,0.6981789568345323,,,
Tox21_NR-AR,SAGE,42,classification,23.98,0.7077028885832187,0.15841584158415842,0.09070294784580499,0.625,0.7169626798561151,,,
Tox21_NR-AR,GINE,42,classification,20.55,0.5997248968363136,0.13134328358208955,0.07260726072607261,0.6875,0.7218525179856116,,,
Tox21_NR-AR-LBD,RF,42,classification,4.7,0.9689578713968958,0.3225806451612903,0.6666666666666666,0.2127659574468085,0.7561663028249325,,,
Tox21_NR-AR-LBD,XGB,42,classification,3.85,0.967479674796748,0.37142857142857144,0.5652173913043478,0.2765957446808511,0.775748590792089,,,
Tox21_NR-AR-LBD,GCN,42,classification,55.64,0.7849223946784922,0.166189111747851,0.09602649006622517,0.6170212765957447,0.724870483203545,,,
